F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Target
-190.11,193.53,2.32,-21.84,11289.72,UK,5730.72,638.55,Very high,467.97,202.74,-655.6,-37.4,-36.28,-974.46,-35.79,4377.66,6.3,-2518.74,-124.42,2335.57,1683.1,4.54,5.82,-16401.99,-21.52,55.65,174.81,23994.54,261.69,5,-177.15,17.6,-1437.2,4,178.2,1306.29
-257.94,1934.85,24.36,-22.06,2712.12,UK,3509.94,389.53,High,393.42,-336.03,272.49,-49.54,-75.3,-1903.7,-31.67,5065.19,6.77,-14739.42,-222.8,1987.59,1840.86,1.11,-16.47,-4161.46,-7.96,67.23,265.44,11554.06,205.14,4,-377.55,16.32,-1840.92,7,83.53,-118.07
-426.06,1071.87,0.1,-21.8,7469.01,USA,4633.2,-28.63,Medium,226.62,-279.9,-243.02,-38.84,-123.06,-1685.86,-54.38,1619.56,9.92,-4457.8,-19.84,2158.58,2322.28,4.78,28.2,-7758.44,-41.3,47.28,542.94,28254.56,363.93,5,-293.67,17.64,-1207.92,5,218.54,-708.14
-204.48,1533.96,7.42,-17.94,4261.77,Rest,3516.06,335.36,Very high,912.63,-278.22,-1175.07,-30.92,-100.88,-2372.4,12.65,741.71,2.27,-15066,-74,2626.4,1672.88,1.84,-14.46,-12385.26,-3.38,52.65,527.1,21449.3,23.31,4,-295.8,20.44,-139.58,6,154.74,2918.75
-232.08,1334.88,29.48,-19.88,2941.02,Rest,3592.04,-46.68,Very low,601.41,-274.92,-617.49,-35.54,-84.04,-1541.46,-20.26,2267.45,1.31,-10332.48,-91.46,2204.64,2667.34,7.69,25.38,-13144.76,-22.62,58.8,390.48,18060.98,248.79,3,-222.12,19.39,-2130.02,4,178.77,1113.09
-163.53,838.62,4.74,-15.48,10777.47,Europe,3696.26,374.68,Very low,397.5,-20.37,-521.7,-36.08,-124.42,-1873.72,-43.2,4115.76,0.27,-1137.82,-25.16,3578.83,2391.16,0.21,-6.99,-6601.18,13.96,62.49,341.7,19795.74,303.45,1,-217.98,18.35,-1422.92,4,210.3,265.21
-273.12,1017.33,19.66,-19.36,12948.54,Europe,2936.2,139.33,Low,210.18,-259.92,-982.94,-28.68,-146.56,-2007.12,-56.52,3324.21,-0.72,-2467.68,-32,2304.34,1457.54,5.49,-5.34,-11239.94,12.52,43.23,80.31,27524.4,267.09,2,-525.75,19.58,-2060.6,5,169.54,327.23
-222.48,750.51,0,-28.52,-357.06,Europe,3928.42,-224.9,Very high,563.04,-383.97,-474.14,-33.06,89.12,-1490.28,17.91,908.77,-0.38,-6878.5,-64.62,3070.65,1980.82,1.19,-8.04,-6334.14,-5.28,47.01,300.6,23981.76,-9.93,6,-420.24,17.26,-1545.16,3,177.93,-232.58
-179.01,670.29,0.02,-17.76,-1086.54,UK,3118.88,-150.71,Very low,524.97,-295.5,-664.03,-31.04,63.16,-2236.78,-50.66,-1.13,1.36,-6913.96,-177.46,2170.95,2973.06,2.85,-23.37,-8618.54,2.38,44.43,377.79,22685.6,86.79,4,-221.79,25.35,-2154.9,4,194.55,-1383.22
-251.04,518.28,4.76,-20.9,14719.83,USA,4972.86,-381,Very low,607.35,-134.97,-349.18,-30.42,-18.96,-2367.5,-34.06,1502.22,5.89,-12515.44,-12.92,2274.01,2743.58,4.91,-6.18,-9152.84,-10.76,47.16,221.79,34307.38,219.84,4,-582.6,16.15,-860.54,5,123,-641.62
